Aache Aanwas Aaron Abaet Abarden 
Reth Rethik Rever Rex Rexor 
Reynar Rhain Rhithik Rhithin Rhonwyn 
Rhoson Rhuna Rhyanon Rhys Rhysling 
Riamon Riandur Riatha Richard Rickhir 
Rida Ridley Rifkind Riger Righe 
Rigol Rikar RikkiTikkiTavi Ril Rilia 
Rille Rima Rime Rines Ringwood 
Rinim Rint Ripentide Rismak Riss 
Riter Rith Ritic Riva Rivatha 
River Riverfield Riverwind Rivex Rizwan 
Robag Robeel Robin Rocner Rod 
Roderik Roge Rogeir Rogis Rogist 
Rogoth Rogur Rogus Rohannah Roker 
Roland Role Rolf Rolfur Rolo 
Rombonolw Romeo Ronetan Rooka Rophan 
Roseate Rosemude Rosh Rosindo Rosobal 
Rossak Rost Roster Roth Rotner 
Rout Ruamaryn Ruatomin Rubi Ruby 
Ruchlight Rudy Rue Ruein Ruel 
Rufus Ruger Ruinar Rulrindale Ruly 
Runnik Rupen Rupprecht Rusch Ruse 
Rushlight Russ Rustah Rustion Rustle 
Rutabega Ruth Ruthir Rutilus Ruvius 
Rydan Ryfar Ryiah Rylla Ryodan 
Rysdan Rythen Rythern Sabal Saberg 
Sabo Sacer Sadareen Sadus Saeg 
Safilix Saft Saka Sake Saker 
Salach Salexor Salie Salor Samairnel 
Sames Samir Samira Sammir Samon 
Samot Samson Samuel Samwise Samyad 
Sanala Sandwave Saneto Sanger Sanin 
Saranie Sargo Sargonus Saril Sarma 
Sarmacid Sarme Sarna Sarrask Sarthgine 
Sasic Sataura Sathe Satian Satica 
Saturn Sawen Sayed Sayeesa Sayst 
Scelinn Sciotus Scius Scoth Screva 
Scrole Scronna Scrooge Scrounge Scry 
Scythe Scythia Seadreamer Seafoam Seaford 
Seaftink Sealanna Sean Seared Seberg 
Secor Secrean Sed Sedar Seetia 
Sefe Seg Segrim Segwilma Seig 
Seiont Seithenin Seka Seke Selenia 
Sellen Semaphone Semuta Senick Senira 
Sennetta Sensai Sensei Senson Senthyril 
Senwen Sepek Sepherene Seporic Serane 
Sere Sergius Serin Serma Sermak 
Serrma Seryth Sesai Sesklos Sesmidat 
Seth Sethron Setlo Settlesand Sevestra 
Sevinhand Sezer Shabel Shade Shado 
Shadow Shadowbane Shakespear Shakespeare Shalpan 
Shamir Shane Shanna Shantra Shard 
Shardo Sharra Shatra Shauksten Shaya 
Shayera Sheem Sheena Sheera Shelvestra 
Shetra Shetre Shevynn Shillana Shillen 
Shire Shnorr Shodowwind Shorn Shrew 
Shull Shyle Shylock Sid Sidara 
Sidathe Sig Sigel Siglaf Siglin 
Siguruk Sigyn Sil'forrin Silco Sildo 
Silienori Silius Sill Sillius Silne 
Silpal Silver Silverleaf Silveron Silvertail 
Silverwind Silvyre Simmont Simon Simpriss 
Sina Sine Singh Sinks Sipher 
Sirat Sirio Sirma Sirme Sithik 
Skadi Skelbanda Skit Skobo Skrymir 
Skylark Skywalker Slamder Slath Sleeth 
Slen Slender Slevon Slill Sloisa 
Slorica Smog Smoglswane Smoke Snadrider 
Snellia Soderman Sog Soka Sola 
Solar Solaris Soliel Solisa Solita 
Solo Solomon Solon Solton Soncern 
Soor Soranal Sorayya Sorch Soren 
Soret Soreth Sorod Soron Sorsha 
Sotha Sothale Souce Soulshaper Soure 
Sourte Sout Sparrow Sparrowhawk Spask 
Spazm Spede Spitel Spoc Sretalles 
Srodki Staban Stadegrio Stadlaer Stagger 
Staggner Staler Stane Staph Star 
Stara Starr Stasheff Statilius Staver 
Stayn Steadmen Steel Steinngium Stel 
Stell Stella Stellar Stentz Stenwulf 
Stephen Stera Steven Stiff Stil 
Still Stonehand Stonne Stormbringer Strean 
Strolan Strongarm Strus Studd Stump 
Sturm Stylie Styrix Sudri Suktor 
Sulanie Sulcar Summai Summas Sumon 
Sunberry Sunder Sunete Sunfall Sunfire 
Sungaze Sunshadow Surtur Suskin Suth 
Sutha Suther Sutlin Suzana Swaedan 
Sweetwood Sword Swust Syknernen Syndarra 
Synestra Synina Syr Syth Sythini 
Sythril Szene Tabika Tabithi Tacer 
Tad Taddi Taerhael Tagram Tahir 
Tail Tajule Talarin Talat Talberon 
Talbot Talea Taleen Talen Taley 
Talgoid Taliesin Tall Tallax Tallisan 
Taltre Tamarantha Tamare Tamerlane Tamtha 
Tan Tand Tansley Tapran Tare 
Targo Tark Tarl Taro Tasdar 
Tasden Tasmya Tasus Tatoria Tatsu 
Taubir Tawfik Taz Tazoe Teadd 
Teh-bor Teirn Teka Teksin Tekyla 
Telefe Tellus Telpur Telsin Temil 
Temilfist Tempist Tenebrig Tensring Tenzil 
Tepena Tera Terass Tereccler Teresse 
Terrel Teslanar Tespar Tessino Tethra 
Tethran Tewdig Teyrida Thaddefert Thaikir 
Thaleen Thalen Thar Thare Tharn 
Tharthar Thaxter Thelinde Therad Theresa 
Therr Thew Thiazi Thiltran Thina 
Thirle Thog Thoinen Tholan Thomas 
Thomin Thorin Thorn Thorus Thothet 
Threndorle Threndorler Throdi Throll Thron 
Thufir Thunderstroke Thurgudmen Thurin Thurny 
Thymas Tia Tiang Tiaz Tibber 
Tibers Tiberus Tibolt Ticharol Tigranes 
Tika Tiler Tillaron Tilner Tinaeus 
Tinus Tir Tirian Tiro Tisiphone 
Titan Tithan Titian Titius Titus 
Tobale Tobin Tohrm Tola Tolde 
Tolen Tolf Tolida Tolle Tolsar 
Tolsen TolSolie Toma Tomal Tomas 
Tomodrin Tondril Tongue Tonica Topah 
Tor Tora Torfire Tori Torial 
Toringad Torinko Torrelloc Tortha Toth 
Totha Tothale Toto Tottra Touret 
Tousba Towerlock Toyna Toza Tract 
Trajan Trake Tralen Tralinth Tram 
Tranl Tranorr Trapster Tras Traven 
Treamuel Trece Trede Tree Treka 
Trelane Trele Trell Tremec Trent 
Treon Tressa Trever Trevor Trewlayne 
Trey Tricus Trill Tringoll Trinsa 
Triock Trion Triscuit Trish Troilus 
Tronos Tror Trotwood Troy Thumper 
Trus Tryane Tuck Tudus Tuek 
Tuk Tull Tullaris Tupaji Turk 
Turle Turzig Tuscanar Tusdar Tussah 
Tuvor Twilight Two TwoDawns Twyla 
Tybressa Tyburn Tycane Tyd Tyden 
Tyell Tyjen Tyl Tyldoran Tyne 
Tysinni Ubaydah Ubriks Uerthe Uevarius 
Ugmar Uhara Uhrd Uisna Ulfang 
Ullie Ullist Ulowadjaa Ulror Ulysses 
Unarath Undaria Undin Unduma Uneste 
Ungard Ungon Untall Unteel Unwulf 
Unysis Updar Uranus Urcit Urda 
Urdrasil Uri Urixen Urk Usara 
Useli Usking Usnar Ussesa Ussiun 
Uther Vaccon Vacone Vaginamite Vagor 
Vagot Valacar Valda Vale Valek 
Valekka Valezka Vali Valistor Valkeri 
Vall Valli Vallie Valon Valor 
Valynard Vanidor Vanil Vannen Varag 
Vargo Varion Varken Varota Varron 
Varth Varus Vasud Vatch Vectomon 
Veldahar Venessa Verdandi Verdanez Vergil 
Veseere Vesend Vespar Vethelot Vettius 
Vevar Vicari Vicenzi Victamorel Victor 
Victory Vider Vidron Vidykal Vigoth 
Viki Vikos Vilan Vildar Vina 
Vinald Vinkolt Virde Vlad Vladamere 
Vohnkar Voladea Voltain Volux Vopnir 
Vortigern Voudim Vrisa Vroomfondle Vulpen 
Vurner Vyblos Vyehntyir Vysarane Vythethi 
Vythica Wade Waeron Wagen Wailan 
Waistere Wakdern Waldan Walena Walkar 
Walker Walman Walnan Walter Wanar 
Wandagwen Wandatranna Wanera Wargo Warmage 
Warne Warwick Waste Wastik Wavenhair 
Wavenhait Wayfinder Wayland Waynock Weace 
Weara Weaver Weddington Wekmar Weldig 
Welisarne Wellath Wellisa Werni Werre 
Werymn Weshin Wesolyne Westri Wham 
Whane Whitefall Whitewell Whithri Whitlock 
Whorl Wieth Wikas Wilbeth Wildwood 
Will Willa Willen Willenhir Willi 
William Willican Willow Wilmoor Wilner 
Wilrow Wilster Wilte Wiltmar Wilton 
Wimkin Wimnig Winding Windwalker Windweave 
Windwhisper Winewood Winius Wird Wisdum 
Wishane Wisp Witfar Withion Witmor 
Witner Witworld Wocca Wode Wolfe 
Wolfgang Wolk Womal Wonder Wonderer 
Wone Wonya Wood-leg Wooll Woon 
Worf Wotan Wrall Wrathran Wraythe 
Wrothag Wulf Wulfgrim Wuthmon Wyder 
Wyeta Wyeth Wylf Wymmar Wymmer 
Wynnde Wyrd Wyrde Wyvorn Xander 
Xandie Xandrog Xanice Xannas Xanril 
Xanry Xaviar Xavier Xealen Xenil 
Xercon Xex Xithyl Xo Xocholactl 
Xorn Xuio Xylana Xylano Yabaro 
Yali Yanan Yaz Yellowleaf Yepal 
Yesirn Yeurquin Ygerna Yilvoxe Ymma 
Ynnd'r Yoda Yolanda Yolenid Yorrek 
Ysane Yssik Yssith Yve Yviene 
Yvonnette Yysara Yreth Zackma Zak 
Zakarn Zalyz Zana Zandinell Zanfalcon 
Zanice Zannan Zantiln Zar Zathe 
Zeax Zecane Zecele Zeke Zenden 
Zenobia Zensunni Zephale Zepher Zephere 
Zere Zerin Zerma Zessfar Zestia 
Zidar Zigmal Zile Zilka Zilocke 
Zim Zio Zir Ziva Zixil 
Zoe Zonya Zorie Zoru Zotar 
Zoura Zrye Zubanquer Zulekia Zutar 
Zymos Zyneste Zynoa Zyten Zoltan
Humpdar Flashinpan Sniggles Factor Bren
Truth Simo Simba Pills Junk
Trunk Baller Wevo War Lambo
Nalge Gumbo False Phantom Beastmode
Bewul	Biedgar	Bildon
Biston	Bithon	Boal
Boaldelr Bolrock	Brakdern
Breanon	Bredere	Bredin
Bredock	Breen	Brighton
Bristan	Buchmeid	Bue
Busma	Buthomar	Bydern
Caelholdt	Cainon	Calden
Camchak	Camilde	Cardon
Casden	Cayold	Celbahr
Celorn	Celthric	Cemark
Cerdern	Cespar	Cether
Cevelt	Chamon	Chesmarn
Chidak	Cibrock	Cipyar
Ciroc	Codern	Colthan
Connell	Cordale	Cos
Cosdeer	Cuparun	Cusmirk
Cydare	Cylmar	Cythnar
Cyton
Daburn	Daermod	Dak
Dakamon	Dakkone	Dalburn
Dalmarn	Dapvhir	Darkboon
Darkkon	Darko	Darkspur
Darmor	Darpick	Dasbeck
Dask	Deathmar Defearon
Derik	Derrin	Desil
Dessfar	Dinfar	Dismer
Doceon	Dochrohan	Dokoran
Dorn	Dosoman	Drakoe
Drakone	Drandon	Drit
Dritz	Drophar	Dryden
Dryn	Duba	Dukran
Duran	Durmark	Dusaro
Dyfar	Dyten	 
Eard	Eckard	Efamar
Efar	Egmardern	Eiridan
Ekgamut	Eli	Elik
Elson	Elthin	Enbane
Endor	Enidin	Enoon
Enro	Erikarn	Erim
Eritai	Escariet	Espardo
Etar	Etburn	Etdar
Ethen	Etmere	Etran
Eythil	 	 
Faoturk	Faowind	Fearlock
Fenrirr	Fetmar	Feturn
Ficadon	Fickfylo	Fildon
Firedorn	Firiro	Floran
Folmard	Fraderk	Fronar
Fydar	Fyn	 
Gafolern	Gai	Galain
Galiron	Gametris	Gauthus
Gemardt	Gemedern	Gemedes
Gerirr	Geth	Gib
Gibolock	Gibolt	Gith
Gom	Gosford	Gothar
Gothikar	Gresforn	Grimie
Gryn	Gundir	Gustov
Guthale	Gybol	Gybrush Gyin	 	 
Halmar	Harrenhal	Hasten
Hectar	Hecton	Heramon
Hermenze	Hermuck	Hezak
Hildale	Hildar	Hileict
Hydale	Hyten	 
Iarmod	Idon	Ieli
Ieserk	Ikar	Ilgenar
Illilorn	Illium	Ingel
Ipedorn	Irefist	Ironmark
Isen	Isil	Ithric
Jackson	Jalil	Jamik
Janus	Jayco	Jaython
Jesco	Jespar	Jethil
Jex	Jib	Jibar
Jin	Juktar	Julthor
Jun	Justal	 
Kafar	Kaldar	Kellan
Keran	Kesad	Kesmon
Kethren	Kib	Kibidon
Kiden	Kilbas	Kilburn
Kildarien	Kimdar	Kinorn
Kip	Kirder	Kodof
Kolmorn	Kyrad	 
Lackus	Lacspor	Laderic
Lafornon	Lahorn	Laracal
Ledale	Leit	Lephar
Lephidiles	Lerin	Lesphares
Letor	Lidorn	Lin
Liphanes	Loban	Lox
Ludokrin	Luphildern	Lupin
Lurd	 	 
Macon	Madarlon	Mafar
Marderdeen	Mardin	Markard
Markdoon	Marklin	Mashasen
Mathar	Medarin	Medin
Mellamo	Meowol	Merdon
Meridan	Merkesh	Mesah
Mes'ard	Mesophan	Mesoton
Mezo	Michael	Mick
Mickal	Migorn	Milo
Miphates	Mi'talrythin	Mitar
Modric	Modum	Mudon
Mufar	Mujarin	Mylo
Mythik	Mythil	 
Nadeer	Nalfar	Namorn
Naphates	Neowyld	Nidale
Nikpal	Nikrolin	Niktohal
Niro	Noford	Nothar
Nuthor	Nuwolf	Nydale
Nythil	 	 
O'tho	Ocarin	Occelot
Occhi	Odaren	Odeir
Ohethlic	Okar	Omaniron
Omarn	Orin	Ospar
Othelen	Oxbaren	 
Padan	Palid	Papur
Peitar	Pelphides	Pender
Pendus	Perder	Perol
Phairdon	Phemedes	Phexides
Phoenix	Picon	Pictal
Picumar	Pildoor	Pixdale
Ponith	Poran	Poscidion
Prothalon	Puthor	Pyder
Qeisan	Qidan	Quiad
Quid	Quiss	Qupar
Qysan	 	 
Radag'mal	Randar	Raysdan
Rayth	Reaper	Resboron
Reth	Rethik	Rhithik
Rhithin	Rhysling	Riandur
Rikar	Rismak	Riss
Ritic	Rogeir	Rogist
Rogoth	Rophan	Rulrindale
Rydan	Ryfar	Ryfar
Ryodan	Rysdan	Rythen
Rythern	 	 
Sabal	Sadareen	Safilix
Samon	Samot	Sasic
Scoth	Scythe	Secor
Sed	Sedar	Senick
Senthyril	Serin	Sermak
Seryth	Sesmidat	Seth
Setlo	Shade	Shadowbane
Shane	Shard	Shardo
Shillen	Silco	Sildo
Sil'forrin	Silpal	Sithik
Soderman	Sothale	Staph
Stenwulf	Steven	Suktor
Suth	Sutlin	Syr
Syth	Sythril	 
Talberon	Telpur	Temil
Temilfist	Tempist	Teslanar
Tespar	Tessino	Tethran
Thiltran	Tholan	Tibers
Tibolt	Ticharol	Tilner
Tithan	Tobale	Tol'Solie
Tolle	Tolsar	Toma
Tothale	Tousba	Towerlock
Tuk	Tuscanar	Tusdar
Tyden	 	 
Uerthe	Ugmar	Uhrd
Undin	Updar	Uther
Vaccon	Vacone	Valkeri
Valynard	Vectomon	Veldahar
Vespar	Vethelot	Victor
Vider	Vigoth	Vilan
Vildar	Vinald	Vinkolt
Virde	Voltain	Volux
Voudim	Vythethi	 
Wak'dern	Walkar	Wanar
Wekmar	Werymn	Weshin
William	Willican	Wilte
Wiltmar	Wishane	Witfar
Wrathran	Wraythe	Wuthmon
Wyder	Wyeth	Wyvorn
Xander	Xavier	Xenil
Xex	Xithyl	Xuio
Y’reth	Yabaro	Yepal
Yesirn	Yssik	Yssith
Zak	Zakarn	Zecane
Zeke	Zerin	Zessfar
Zidar	Zigmal	Zile
Zilocke	Zio	Zoru
Zotar	Zutar	Zyten
Zephir  Zoo  Wild
Crabby Mug Pile Toots
Blimpy Pimple
Lydan
Syrin
Ptorik
Joz
Varog
Gethrod
Hezra
Feron
Ophni
Colborn
Fintis
Gatlin
Jinto
Hagalbar
Krinn
Lenox
Revvyn
Hodus
Dimian
Paskel
Kontas
Weston
Azamarr 
Jather 
Tekren 
Jareth
Adon
Zaden
Eune 
Graff
Tez
Jessop
Gunnar
Pike
Domnhar
Baske
Jerrick
Mavrek
Riordan
Wulfe
Straus
Tyvrik 
Henndar
Favroe
Whit
Jaris
Renham
Kagran
Lassrin 
Vadim
Arlo
Quintis
Vale
Caelan
Yorjan
Khron
Ishmael
Jakrin
Fangar
Roux
Baxar
Hawke
Gatlen
Barak
Nazim
Kadric
Paquin
Kent
Moki
Rankar
Lothe
Ryven
Clawsen
Pakker
Embre
Cassian
Verssek
Dagfinn
Ebraheim
Nesso
Eldermar
Rivik
Rourke
Barton
Hemm
Sarkin
Blaiz 
Talon
Agro
Zagaroth
Turrek
Esdel
Lustros
Zenner
Baashar 
Dagrod 
Gentar
Feston
Syrana
Resha
Varin
Wren
Yuni
Talis
Kessa
Magaltie
Aeris
Desmina
Krynna
Asralyn 
Herra
Pret
Kory
Afia
Tessel
Rhiannon
Zara
Jesi
Belen
Rei
Ciscra
Temy
Renalee 
Estyn
Maarika
Lynorr
Florianus Statvevzu
Ferdinand Thunderhammer
Derek Terraflare
Therron Pasham
Bayard Saldubres
Jadyn Fenthat
Tiv
Annihya
Semet
Tamrin
Antia
Reslyn
Basak
Vixra
Pekka 
Xavia
Beatha 
Yarri
Liris
Sonali
Razra 
Soko
Maeve
Everen
Yelina
Morwena
Hagar
Palra
Elysa
Sage
Ketra
Lynx
Agama
Thesra 
Tezani
Ralia
Esmee
Heron
Naima
Rydna 
Sparrow
Baakshi 
Ibera
Phlox
Dessa
Braithe
Taewen
Larke
Silene
Phressa
Esther
Anika
Rasy 
Harper
Indie
Vita
Drusila
Minha
Surane
Lassona
Merula
Kye
Jonna
Lyla
Zet
Orett
Naphtalia
Turi
Rhays
Shike
Hartie
Beela
Leska
Vemery 
Lunex
Fidess
Tisette
Partha
Derry Ki
Ethelbert Spiderflare
Danny Mehese
Corbett Shashu
Wilfried Hammo
Redman Mevuni
Bo Nikresk
Aurel Suzugun
Maik Heavyfury
Deshaun Sunzuuhk
Demetrius Mavelmyaba
Normen Wue
Rick Thunderflaw
Corvin Mumma
Taylor Winterdew
Ruhre
Arvin Smartwound
Berti Flatsteel
Natan Jiao
Hanno Nahkihkut
Durand Dustflayer
Stockman Dakhan
Fidelius Dustflayer
Aurel Muldrolruehk
Tavion Jultundreb
Kunz Jinskihk
Ismail Softoak
Dillan Chin
Doyle Dachahd
Arvin Roughsun
Fuller Jinnil
Nelly Nuthicrud
Juan Hevrozdet
Arndt Miz
Cromwell Wan
Dwite Chai
Schorsch Daypike
Goswin Dhakhal
Juanito Dirnore
Salomon Softcloud
Lincoln Mildinze
Laurenz Dirgiro
Ryle Fekdufk
Stanford Huzukret
Galli Mundrakt
Sanborn Kholei
Reg Teldonto
Redwald Stonestrike
Zero Rhekhu
Durango Delbonzas
Barret Mossgrove
Derry Graysprinter
Bede Chestdraft
Jordy Usqogir
Mick Glorgersk
Jahiem Mildmantle
Gerhardt Usqogir
Rodi Bigasun
Ivan Seaash
Blaize Big
Court Deathhammer
Augustinus Dhaka
Vincentius Wildsnout
Justin Dirnore
Florentus Jinni
Berti Strongbend
Thyrigg
Emdir
Bheldrus
Vondren
Ebnom
Thynur
Thulrak
Theldain
Bhardrom
Morrak
Garnus
Thultharm
Gralnir
Bandrom
Gremmus
Grykyl
Hjolkom
Belthrum
Emkam
Bunmin
Thalgrim
Thelmur
Bramnir
Kardrak
Phedros
Ymjir
Alborh
Dhikeyar
Wokdohr
Dhorus
Frewin Redwood
Wolfe Devonshire
Maddock Orlando
Caedmon Morgan
Michael Christian
Cyrus Panther
Laramie Wood
Killian Ripper
Azriel Vixen
Troy Scarletwound
Wade Evilian
Zion Marth
Forrest Howler
Laramie Addington
Forrest Morgan
Tiordan Drabek
Troy Whitmore
Ward Vonner
Wolfe Cross
Chilton Devonshire
Niam Sangrey
Brencis Le Torneau
Cosmo Helion
Keene Highmore
Marden Sharpe
Conrad Winter
Brady Storm
Killian Grimsbane
Adam Le Torneau
Cornelius Brack
Hrosskel Thorbrandsson
Spjut Asfrithsson
Eindridi Askelsson
Bothvar Borksson
Kar Kalfsson
Hallvard Frostulfsson
Sigguatr Gilsson
Suit Dyrisson
Fastulf Gunnulfsson
Arni Geirsteinsson
Serk Asvardsson
Hermund Slothisson
Hardrefil Hrutsson
Ofieg Teitsson
Hiorvard Iorthrsson
Swein Frømundsson
Sanver
Falmo
Linemin
Rifire
Ricras
Janner
Garlan
Halder
Horgin
Flynyver
Xanhace
Ricver
Riner
Yenmo
Neder
Ulras
Kortran
Jotran
Lokseba Kheldra
Chenakle Marsa
Casenre Sainvrisud
Huphroba Mestrel
Ghidvuhi Giuzreth
Boknen Kemiurlir
Murruiss Yimrusiun
Khadrik Bhistrel
Thaikza Todoldrei
Ramnohi Orsaneth
Rybzuc Penne
Kende Olzu
Chonipi Nasiegoh
Dhunda Zognu
Qhacnuba Paerashrid
Bhaksihe Therdia
Brornudh Shraidasan
Ghunadhu Bhiulnu
Nervesetter
Dutybringer
Glowsweeper
Hexbanger
Bloodcaller
Whisperholder
Shieldbearer
Luckriser
Steelhowler
Monsterbreacher
Kingbreeder
Meatwrecker
Whisperpicker
Monstercrasher
Lightkeeper
Headgrower
Daemongrowler
Couragechanger
Riskbawler
Pledgecaster
Eyeholder
Nervequencher
Couragecourser
Steelbinder
Spiritkeeper
Sleepstroker
Tormentblighter
Bladeriser
Brandsetter
Glowbracer
Specterruiner
Truthturner
Spiritcharger
Cautionstopper
Woetrampler
Couragewatcher
Brightclaimer
Honormaker
Sleepcounter
Silencecracker
Gloomstinger
Shackleminder
Acton Gregorian
Jordy Blade
Martus Bentley
Kolby Hansen
Kegan Chandler
Abdiel Alliestar
Severn Bentham
Vasco Dayton
Norwin Adlam
Earl Karn
Reuben Stonebridge
Meinert Duke
Allston Lincoln
Freman Vexacion
Gorius Melling
Redwald Seymour
Norvin Acheron
Wilhelm Argent
Hishige Hirorazo
Zanobu Tadibuchi
Rakutanda Kawameisetsu
Adanari Joruko
Hanaziwa Kazunpaku
Akamano Takatsune
Kagubira Hisahito
Adabara Orirobei
Arakaki Takeri
Uraza Mamoyaki
Otsuguchi Shoshige
Omoka Kuninji
Kozeroth
Trorzath
Gagrech
Kirnazon
Thuggozir
Drag'dridus
Argiuth
Ostririz
Ragliran
Thazguran
Ur'garath
Zer'allaun
Deg'droth
Migdronath
Thurudon
Balmid
Zolranag
Sorumath
Doglozen
Arrach
Gorzan
Elmus
Zazzakog
Tezrerod
Darfu Borga
Buramog Lardub
Dakgu Hubamph
Grukag Mugrump
Koughat Yarugak
Owkbanok Traiz
Stugbu Yagrish
Routhu Bonuma
Rarfu Burbub
Speghat Ogdma
Jugag Agamdbu
Urgan Bonfim
Zahgorim Snambak
Yatur Bargur
Braugh Ufthlar
Slapdud Sharga
Khagra Shubhub
Maknok Bumgarn
Sumhug Urgug
Brougha Mulakh
Varbuk Agaag
Verthurg Agamgog
Sog Duguilslag
Shobob Gramush
Gnorth Shumgob
Buimghig Orbumog
Yerug Bargash
Rurbag Shamrg
Ulmragha Dulalfim
Buadagh Rugdgob
Tack Shade
Layre Grimsbane
Iluz La Croix
Eoin Shade
Duradel Fadington
Drace Maganti
Aura Gnash
Sisk Aura
Grissom Devonshire
Isaac Cane
Nadir Vexx
Dominic Brevil
Butler Latimer
Wendell Snow
Xix Whisper
Darth Quinn
Zeidan Blankley
Kieran Vossen
Winmore Le Torneau
Soran Heliot
Zul Mortem
Nictis Maganti
Gotham Fade
Louis Crowe
Granger Dupree
Caesar Whisper
Theodor Jones
Zeddicus Dukes
Cloven Grimm
Darth Brack
Lore Norwood
Panther Marth
Nadir Barlow
Dream La Croix
Gattas Le Doux
Zeddicus Manglyeong
Tidus Jones
Lynx Mortem
Dhampir Brack
Kirnon Delacroix
Sliske Argent
Zen Interfector
Elor
Dring
Kreas
Srugacs
Kagnuing
Striax
Ubkekx
Ziodsung
Cratvas
Tuiz
Blugs
Poilb
Frikx
Cleeld
Teestrirk
Stoiddaag
Stiklos
Chaark
Ulasb
Vurgeabs
Folgeel
Gnert
Ield
Poq
Wrieldiat
Creg
Jirviakx
Vurmokx
Zuts
Oilx
Alwan
Malak
Ditid
Erodjan
Zoljin
Rapshider
Voyambi
Rujin
Zelaji
Zelaji
Shengis
Jinjin
Klaus
Jett
Zev
Carter
Koray
Grey
Wolf
Grout
Arnet
Bernet
Fernard
Robin
Heller
Otsoko
Emron
Lycurgus
Jude
Albert
Garth
MacLaren
Norden
Marcus
Bahram
Roger
Shussuris
Bhiramoth
Krucogan
Zinedine
Vothulea
Garteahog
Zraugek Fullbreaker
Shrurk Broadpunch
Vek Graychew
Chikenk Dustpunch
Qhengrusk Foreseeker
Kebuk Brownbender
Zazzusz Grumblethorn
Drox Lonedrifter
Snikkeig Commonthorn
Khazung Mountainbuckle
Chugind Rapidbow
Kezurg Crowbrace
Qok Clawbranch
Qhetveid Coldcrest
Strok Sharpjaw
Krerk Fullback
Troc Bronzeback
Shanzeg Simpleborn
Dregrisk Steelstalker
Braur Emberbone
Zrong Stonebasher
Grebrerg Morninghunter
Streex Brownbuster
Strakzer Lonedrifter
Zron Roughtongue
Chroged Bloodcutter
Trendrand Brewscar
Cholkir Mountainpelt
Krindok Moltenbluff
Kisk Oatgrog
Chrardaang Boulderback
Qac Grumblesurge
Krelbraic Keenwound
Qig Mountaindelver
Veendek Mukripper
Kodek Hillbelly
Qhiruc Hillcut
Snondek Hornmaul
Krend Fisteye
Xerc Cragripper
Szauzrind Oatflare
Shug Tuskbow
Gig Gorebluff
Bukzrug Mukbelt
Streis Sharpgrip
Gremzed Cliffbrow
Qaamgrorg Fistwound
Durdosk Greyclaw
Qhuzzkund Fullcoat
Qrandaag Ironfall
Vurias Netherbluff
Snairk Pinesurge
Kraid Fogcrusher
Chanzus Flaskmark
Zekdrind Stormbuster
Krid Stonecoat
Kruk Greyfinger
Vrair Hazedigger
Xerc Simpledust
Iggic Lonechest
Lafayette Rayburn
David Kettell
Bazel Sterling
Simeon Ward
Truth Billinghurst
Edward Miller
Andrew Pocket
August Dickinson
Alden Bardell
Herbert Glass
Eli Dawkins
Ammiras Hawkes
Theophilus Bray
Benedict Hopperton
Barnabas Littlefield
Morgan Rowley
Joseph Pelham
Archibald Fuzzey
Elijah Blenkinsopp
Lysander Canning
Aloysius Askew
Virgil Leggett
Andy Winterman
Harland Smith
Wesley Etherington
Robert Throgmorton
Hannibal Atkins
Josiah Chambers
Pat Missing
Amos Corbyn
Ironshade
Farrowrock
Nicklegrip
Forecreek
Hawksteam
Grandbeam
Lunabrooke
Shieldflaw
Shieldgleam
Amberbow
Mistsinger
Mourninggrip
Moltenrun
Longwhisk
Willowstalker
Pyrespear
Crowtree
Strongfire
Deathpike
Goldflaw
Silverflare
Twoblade
Embercrest
Cliffwhirl
Roughshard
Greengrove
Gloomcaller
Snowkeep
Grayswift
Holybrace
Flamestrider
Goreshade
Darkwind
Hawkcloud
Nightrun
Runeweaver
Staghorn
Stagblade
Willowsoar
Flatblade
Twilightgrain
Terramourn
Whitbone
Autumnwoods
Bloodforge
Highpeak
Lightpeak
Bluebluff
Evenchaser
Horsereaver
Sternhammer
Snowvalor
Mirtheye
Proudsteam
Daytail
Staghorn
Wyvernblossom
Miststrength
Fernspark
Dustorb
Stonerunner
Hellstrike
Hazecrest
Crystalshot
Windblade
Skystride
Darkpelt
Dustblade
Swiftcaller
Nobleblaze
Riverfall
Sacredwalker
Hazecleaver
Mourningdraft
Hellorb
Nicklegrip
Freefury
Snowarrow
Icebloom
Skullcut
Youngoak
Spiritlight
Wheatcut
Slatetoe
Winterbrook
Sageblossom
Willowblaze
Bonesnout
Ashhair
Havencrag
Titanwing
Cragwing
Nicklefallow
Peacehorn
Dragonrider
Glowchewer
Crestcrag
Coldshield
Serpentriver
Summershout
Sternchaser
Treetoe
Moltensinger
Strongfire
Heavysteel
Burningwatcher
Plainrunner
Lowglow
Chlodmer Took
Jolly Clayhanger
Bandobras Swiftfoot
Trahand Proudbody
Hunald Longbottom
Theuderic North-took
Giseler Bramblethorn
Gilbert Goodsong
Dinodas Goold
Agiulf Pott
Ebregisel Harfoot
Atacinus
Ivel Fernuhol
Frirnean Felbondar
Vutai Janzosos
Oriel Cobrosqol
Peavuen Jolbasto
Aviel Fugahel
Mezhar
Ekrouvras
Straqur
Nelos
Isebrum
Ivrolos
Vlunlos
Cufam
Bromdor
Arusog
Klebar
Lewar
Ianbalar
